~~~ Starting Training ~~~
Ep.:  7500, Score:   0.15, P_win: 0.50, Tran: 68.06, eps: 0.14, lr: 2.00e-04, pred: 137.29 min
Ep.:  8000, Score:   0.83, P_win: 0.39, Tran: 73.48, eps: 0.13, lr: 2.00e-04, pred: 134.90 min
Ep.:  8500, Score:   0.30, P_win: 0.43, Tran: 69.22, eps: 0.13, lr: 2.00e-04, pred: 132.42 min
Ep.:  9000, Score:   1.10, P_win: 0.46, Tran: 69.81, eps: 0.13, lr: 2.00e-04, pred: 129.69 min
Ep.:  9500, Score:   1.57, P_win: 0.52, Tran: 72.81, eps: 0.12, lr: 2.00e-04, pred: 126.94 min
Ep.: 10000, Score:   1.11, P_win: 0.57, Tran: 60.73, eps: 0.12, lr: 2.00e-04, pred: 124.07 min
Ep.: 10500, Score:   2.02, P_win: 0.47, Tran: 70.52, eps: 0.12, lr: 2.00e-04, pred: 121.26 min
Ep.: 11000, Score:   2.65, P_win: 0.56, Tran: 62.02, eps: 0.12, lr: 2.00e-04, pred: 118.42 min
Ep.: 11500, Score:   2.39, P_win: 0.52, Tran: 70.95, eps: 0.11, lr: 2.00e-04, pred: 115.53 min
Ep.: 12000, Score:   3.23, P_win: 0.68, Tran: 60.83, eps: 0.11, lr: 2.00e-04, pred: 112.69 min
Ep.: 12500, Score:   3.23, P_win: 0.53, Tran: 71.09, eps: 0.11, lr: 2.00e-04, pred: 109.84 min
Ep.: 13000, Score:   3.38, P_win: 0.54, Tran: 70.28, eps: 0.10, lr: 2.00e-04, pred: 106.93 min
Ep.: 13500, Score:   3.94, P_win: 0.61, Tran: 67.95, eps: 0.10, lr: 2.00e-04, pred: 104.00 min
Ep.: 14000, Score:   3.37, P_win: 0.62, Tran: 66.96, eps: 0.10, lr: 2.00e-04, pred: 101.03 min
Ep.: 14500, Score:   4.26, P_win: 0.61, Tran: 66.62, eps: 0.10, lr: 2.00e-04, pred: 98.02 min
Ep.: 15000, Score:   4.15, P_win: 0.80, Tran: 58.24, eps: 0.09, lr: 2.00e-04, pred: 94.97 min
Ep.: 15500, Score:   4.94, P_win: 0.76, Tran: 59.08, eps: 0.09, lr: 1.00e-04, pred: 91.55 min
Ep.: 16000, Score:   5.37, P_win: 0.70, Tran: 63.22, eps: 0.09, lr: 1.00e-04, pred: 88.15 min
Ep.: 16500, Score:   5.75, P_win: 0.81, Tran: 59.75, eps: 0.09, lr: 1.00e-04, pred: 84.71 min
Ep.: 17000, Score:   6.97, P_win: 0.82, Tran: 57.59, eps: 0.09, lr: 1.00e-04, pred: 81.30 min
Ep.: 17500, Score:   6.82, P_win: 0.85, Tran: 52.64, eps: 0.08, lr: 1.00e-04, pred: 77.96 min
Ep.: 18000, Score:   6.00, P_win: 0.81, Tran: 51.95, eps: 0.08, lr: 1.00e-04, pred: 74.60 min
Ep.: 18500, Score:   7.19, P_win: 0.89, Tran: 52.97, eps: 0.08, lr: 1.00e-04, pred: 71.28 min
Ep.: 19000, Score:   7.49, P_win: 0.92, Tran: 50.28, eps: 0.08, lr: 1.00e-04, pred: 68.01 min
Ep.: 19500, Score:   7.80, P_win: 0.93, Tran: 49.31, eps: 0.08, lr: 1.00e-04, pred: 64.72 min
Ep.: 20000, Score:   7.51, P_win: 0.91, Tran: 50.80, eps: 0.07, lr: 1.00e-04, pred: 61.45 min
Ep.: 20500, Score:   7.46, P_win: 0.91, Tran: 51.67, eps: 0.07, lr: 1.00e-04, pred: 58.25 min
Ep.: 21000, Score:   7.76, P_win: 0.96, Tran: 49.78, eps: 0.07, lr: 1.00e-04, pred: 55.06 min
Ep.: 21500, Score:   7.97, P_win: 0.94, Tran: 48.63, eps: 0.07, lr: 1.00e-04, pred: 51.87 min
Ep.: 22000, Score:   7.93, P_win: 0.90, Tran: 52.05, eps: 0.07, lr: 1.00e-04, pred: 48.73 min
Ep.: 22500, Score:   7.86, P_win: 0.91, Tran: 53.13, eps: 0.06, lr: 1.00e-04, pred: 45.60 min
Ep.: 23000, Score:   8.49, P_win: 0.94, Tran: 48.92, eps: 0.06, lr: 1.00e-04, pred: 42.49 min
Ep.: 23500, Score:   7.97, P_win: 0.92, Tran: 51.33, eps: 0.06, lr: 1.00e-04, pred: 39.38 min
Ep.: 24000, Score:   8.00, P_win: 0.98, Tran: 46.23, eps: 0.06, lr: 1.00e-04, pred: 36.28 min
Ep.: 24500, Score:   8.17, P_win: 0.95, Tran: 47.96, eps: 0.06, lr: 1.00e-04, pred: 33.24 min
Ep.: 25000, Score:   8.25, P_win: 0.92, Tran: 49.34, eps: 0.06, lr: 1.00e-04, pred: 30.18 min
Ep.: 25500, Score:   8.19, P_win: 0.98, Tran: 46.46, eps: 0.06, lr: 5.00e-05, pred: 27.12 min
Ep.: 26000, Score:   8.36, P_win: 0.91, Tran: 48.95, eps: 0.05, lr: 5.00e-05, pred: 24.07 min
Ep.: 26500, Score:   8.29, P_win: 0.97, Tran: 46.95, eps: 0.05, lr: 5.00e-05, pred: 21.03 min
Ep.: 27000, Score:   8.38, P_win: 0.97, Tran: 47.29, eps: 0.05, lr: 5.00e-05, pred: 17.99 min
Ep.: 27500, Score:   8.64, P_win: 0.92, Tran: 48.88, eps: 0.05, lr: 5.00e-05, pred: 14.97 min
Ep.: 28000, Score:   8.53, P_win: 0.96, Tran: 47.73, eps: 0.05, lr: 5.00e-05, pred: 11.96 min
Ep.: 28500, Score:   8.67, P_win: 0.92, Tran: 50.13, eps: 0.05, lr: 5.00e-05, pred:  8.95 min
Ep.: 29000, Score:   8.40, P_win: 0.92, Tran: 48.73, eps: 0.05, lr: 5.00e-05, pred:  5.96 min
Ep.: 29500, Score:   8.72, P_win: 0.99, Tran: 44.66, eps: 0.05, lr: 5.00e-05, pred:  2.97 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -14.22, P_win: 0.06, Tran: 91.10, eps: 0.20, lr: 2.00e-04, pred: 5435.28 min
Ep.:   500, Score:  -5.36, P_win: 0.12, Tran: 82.20, eps: 0.20, lr: 2.00e-04, pred: 180.36 min
Ep.:  1000, Score:  -2.98, P_win: 0.24, Tran: 72.80, eps: 0.19, lr: 2.00e-04, pred: 177.80 min
