~~~ Starting Training ~~~
Ep.: 60500, Score:   4.63, P_win: 0.68, Tran: 64.23, eps: 0.01, lr: 2.00e-04, pred: 689.55 min
Ep.: 61000, Score:   4.80, P_win: 0.57, Tran: 65.22, eps: 0.01, lr: 2.00e-04, pred: 678.20 min
Ep.: 61500, Score:   4.37, P_win: 0.62, Tran: 63.08, eps: 0.01, lr: 2.00e-04, pred: 666.81 min
Ep.: 62000, Score:   4.84, P_win: 0.72, Tran: 63.33, eps: 0.01, lr: 2.00e-04, pred: 655.37 min
Ep.: 62500, Score:   5.16, P_win: 0.64, Tran: 61.31, eps: 0.01, lr: 2.00e-04, pred: 643.95 min
Ep.: 63000, Score:   4.12, P_win: 0.66, Tran: 62.26, eps: 0.01, lr: 2.00e-04, pred: 632.60 min
Ep.: 63500, Score:   5.07, P_win: 0.70, Tran: 62.36, eps: 0.01, lr: 2.00e-04, pred: 621.13 min
Ep.: 64000, Score:   5.37, P_win: 0.71, Tran: 62.66, eps: 0.01, lr: 2.00e-04, pred: 609.61 min
Ep.: 64500, Score:   4.21, P_win: 0.66, Tran: 65.80, eps: 0.01, lr: 2.00e-04, pred: 598.20 min
Ep.: 65000, Score:   4.72, P_win: 0.69, Tran: 60.10, eps: 0.01, lr: 2.00e-04, pred: 586.81 min
Ep.: 65500, Score:   4.40, P_win: 0.63, Tran: 63.74, eps: 0.01, lr: 2.00e-04, pred: 575.42 min
Ep.: 66000, Score:   4.56, P_win: 0.68, Tran: 63.59, eps: 0.01, lr: 2.00e-04, pred: 563.89 min
Ep.: 66500, Score:   4.93, P_win: 0.68, Tran: 65.96, eps: 0.01, lr: 2.00e-04, pred: 552.39 min
Ep.: 67000, Score:   5.33, P_win: 0.66, Tran: 62.13, eps: 0.01, lr: 2.00e-04, pred: 540.82 min
Ep.: 67500, Score:   4.86, P_win: 0.66, Tran: 61.50, eps: 0.01, lr: 2.00e-04, pred: 529.24 min
Ep.: 68000, Score:   4.61, P_win: 0.69, Tran: 61.53, eps: 0.01, lr: 2.00e-04, pred: 517.76 min
Ep.: 68500, Score:   4.60, P_win: 0.69, Tran: 60.87, eps: 0.01, lr: 2.00e-04, pred: 506.24 min
Ep.: 69000, Score:   4.22, P_win: 0.68, Tran: 62.68, eps: 0.01, lr: 2.00e-04, pred: 494.63 min
Ep.: 69500, Score:   4.90, P_win: 0.59, Tran: 66.81, eps: 0.01, lr: 2.00e-04, pred: 483.08 min
Ep.: 70000, Score:   5.20, P_win: 0.59, Tran: 70.72, eps: 0.01, lr: 2.00e-04, pred: 471.52 min
Ep.: 70500, Score:   4.37, P_win: 0.66, Tran: 65.28, eps: 0.01, lr: 2.00e-04, pred: 459.94 min
Ep.: 71000, Score:   5.19, P_win: 0.68, Tran: 64.83, eps: 0.01, lr: 2.00e-04, pred: 448.32 min
Ep.: 71500, Score:   5.33, P_win: 0.62, Tran: 65.72, eps: 0.01, lr: 2.00e-04, pred: 436.70 min
Ep.: 72000, Score:   5.29, P_win: 0.65, Tran: 65.27, eps: 0.01, lr: 2.00e-04, pred: 425.08 min
Ep.: 72500, Score:   5.95, P_win: 0.60, Tran: 64.32, eps: 0.01, lr: 2.00e-04, pred: 413.48 min
Ep.: 73000, Score:   4.88, P_win: 0.71, Tran: 58.06, eps: 0.01, lr: 2.00e-04, pred: 401.83 min
Ep.: 73500, Score:   5.00, P_win: 0.74, Tran: 59.93, eps: 0.01, lr: 2.00e-04, pred: 390.19 min
Ep.: 74000, Score:   4.69, P_win: 0.68, Tran: 60.81, eps: 0.00, lr: 2.00e-04, pred: 378.56 min
Ep.: 74500, Score:   4.97, P_win: 0.63, Tran: 64.14, eps: 0.00, lr: 2.00e-04, pred: 366.89 min
Ep.: 75000, Score:   5.11, P_win: 0.70, Tran: 62.92, eps: 0.00, lr: 2.00e-04, pred: 355.23 min
Ep.: 75500, Score:   4.72, P_win: 0.65, Tran: 62.80, eps: 0.00, lr: 1.00e-04, pred: 343.13 min
Ep.: 76000, Score:   5.19, P_win: 0.68, Tran: 64.17, eps: 0.00, lr: 1.00e-04, pred: 331.03 min
Ep.: 76500, Score:   5.09, P_win: 0.63, Tran: 64.75, eps: 0.00, lr: 1.00e-04, pred: 318.98 min
Ep.: 77000, Score:   5.47, P_win: 0.64, Tran: 64.88, eps: 0.00, lr: 1.00e-04, pred: 307.07 min
Ep.: 77500, Score:   5.63, P_win: 0.62, Tran: 69.68, eps: 0.00, lr: 1.00e-04, pred: 295.30 min
Ep.: 78000, Score:   5.27, P_win: 0.78, Tran: 59.40, eps: 0.00, lr: 1.00e-04, pred: 283.52 min
Ep.: 78500, Score:   5.09, P_win: 0.74, Tran: 63.87, eps: 0.00, lr: 1.00e-04, pred: 271.75 min
Ep.: 79000, Score:   5.49, P_win: 0.69, Tran: 62.29, eps: 0.00, lr: 1.00e-04, pred: 259.98 min
Ep.: 79500, Score:   4.99, P_win: 0.75, Tran: 62.95, eps: 0.00, lr: 1.00e-04, pred: 248.03 min
Ep.: 80000, Score:   5.51, P_win: 0.71, Tran: 60.02, eps: 0.00, lr: 1.00e-04, pred: 236.06 min
Ep.: 80500, Score:   5.06, P_win: 0.66, Tran: 61.80, eps: 0.00, lr: 5.00e-05, pred: 224.08 min
Ep.: 81000, Score:   5.84, P_win: 0.74, Tran: 60.79, eps: 0.00, lr: 5.00e-05, pred: 212.15 min
Ep.: 81500, Score:   5.86, P_win: 0.74, Tran: 61.69, eps: 0.00, lr: 5.00e-05, pred: 200.22 min
Ep.: 82000, Score:   5.93, P_win: 0.72, Tran: 59.71, eps: 0.00, lr: 5.00e-05, pred: 188.32 min
Ep.: 82500, Score:   5.77, P_win: 0.78, Tran: 58.47, eps: 0.00, lr: 5.00e-05, pred: 176.43 min
Ep.: 83000, Score:   6.39, P_win: 0.84, Tran: 55.37, eps: 0.00, lr: 5.00e-05, pred: 164.56 min
Ep.: 83500, Score:   6.12, P_win: 0.77, Tran: 57.68, eps: 0.00, lr: 5.00e-05, pred: 152.70 min
Ep.: 84000, Score:   5.35, P_win: 0.72, Tran: 62.87, eps: 0.00, lr: 5.00e-05, pred: 140.86 min
Ep.: 84500, Score:   5.54, P_win: 0.75, Tran: 61.63, eps: 0.00, lr: 5.00e-05, pred: 129.04 min
Ep.: 85000, Score:   5.54, P_win: 0.76, Tran: 61.00, eps: 0.00, lr: 5.00e-05, pred: 117.23 min
Ep.: 85500, Score:   5.84, P_win: 0.67, Tran: 60.05, eps: 0.00, lr: 2.50e-05, pred: 105.43 min
Ep.: 86000, Score:   5.78, P_win: 0.74, Tran: 63.01, eps: 0.00, lr: 2.50e-05, pred: 93.65 min
Ep.: 86500, Score:   6.27, P_win: 0.70, Tran: 64.00, eps: 0.00, lr: 2.50e-05, pred: 81.88 min
Ep.: 87000, Score:   6.04, P_win: 0.80, Tran: 57.95, eps: 0.00, lr: 2.50e-05, pred: 70.13 min
Ep.: 87500, Score:   6.32, P_win: 0.75, Tran: 56.36, eps: 0.00, lr: 2.50e-05, pred: 58.40 min
Ep.: 88000, Score:   5.38, P_win: 0.71, Tran: 62.25, eps: 0.00, lr: 2.50e-05, pred: 46.68 min
Ep.: 88500, Score:   6.23, P_win: 0.82, Tran: 62.25, eps: 0.00, lr: 2.50e-05, pred: 34.98 min
Ep.: 89000, Score:   6.44, P_win: 0.76, Tran: 55.14, eps: 0.00, lr: 2.50e-05, pred: 23.30 min
Ep.: 89500, Score:   6.01, P_win: 0.70, Tran: 62.46, eps: 0.00, lr: 2.50e-05, pred: 11.63 min
~~~ Training Complete ~~~
DONE!
